last_edited_by,date_added,last_edited_date,raw_source,vessel_id,port,key,arr_date,port_master,aphorism,holiday_greeting,wisdom,saying,vessel_name,tonnage,length_overall,flag_country,vessel_company,vessel_type
Haenyeo Hyun-Ki,2035-05-16T00:00:00Z,2035-05-25T00:00:00Z,Paackland harbor reports,costasmeraldaac7,City of Paackland,2,2035-05-07T00:00:00Z,Portmaster of Paackland,The wind and the waves are always on the side of the ablest navigator.,Wonderful Saw Appreciation Day to each of you!,"The calmer the waters, the closer the storm.",A man without a goal is like a ship without a rudder.,Costa Smeralda,600,80,Oceanus,Garcia-Sanchez,Fishing
Clepper Jessen,2035-11-03T00:00:00Z,2035-11-08T00:00:00Z,Paackland harbor reports,costasmeraldaac7,City of Paackland,3,2035-10-29T00:00:00Z,Portmaster of Paackland,"You can't stop the waves, but you can learn to surf.",NA,There’s no such thing as a wasted day at the beach.,"The cure for anything is salt water: sweat, tears or the sea.",Costa Smeralda,600,80,Oceanus,Garcia-Sanchez,Fishing
Clepper Jessen,2035-04-04T00:00:00Z,2035-04-08T00:00:00Z,Paackland harbor reports,costasmeraldaac7,City of Paackland,4,2035-04-02T00:00:00Z,Portmaster of Paackland,"You can't stop the waves, but you can learn to surf.",NA,There’s no such thing as a wasted day at the beach.,NA,Costa Smeralda,600,80,Oceanus,Garcia-Sanchez,Fishing
Junior Shurdlu,2035-03-29T00:00:00Z,2035-04-05T00:00:00Z,Port Grove harbor reports,clownfishe3d,City of Port Grove,0,2035-03-24T00:00:00Z,Portmaster of Port Grove,"The tans will fade, but the memories will last forever.",Its **Day of Future Hope** again today,"If there's a heaven for me, I'm sure it has a beach attached to it.","The goal is not to sail the boat, but rather to help the boat sail herself.",Clown Fish,NA,NA,Oceanus,Unknown,Tour
Clepper Jessen,2035-02-02T00:00:00Z,2035-02-12T00:00:00Z,Port Grove harbor reports,clownfishe3d,City of Port Grove,1,2035-02-02T00:00:00Z,Portmaster of Port Grove,"The ocean stirs the heart, inspires the imagination, and brings eternal joy to the soul.",NA,"The sea! The sea! The open sea! The blue, the fresh, the ever free!",NA,Clown Fish,NA,NA,Oceanus,Unknown,Tour
Haenyeo Hyun-Ki,2035-11-15T00:00:00Z,2035-11-23T00:00:00Z,South Paackland harbor reports,maritimemomentumfab,City of South Paackland,0,2035-11-15T00:00:00Z,Portmaster of South Paackland,"If your ship doesn’t come in, swim out to meet it!",NA,Island life: the cure for mainland madness.,Island vibes only.,Maritime Momentum,76300,220,Playa Solis,Unknown,Cargo_Vessel
Clepper Jessen,2035-11-15T00:00:00Z,2035-11-19T00:00:00Z,South Paackland harbor reports,maritimemomentumfab,City of South Paackland,1,2035-11-15T00:00:00Z,Portmaster of South Paackland,"If your ship doesn’t come in, swim out to meet it!",NA,NA,Island vibes only.,Maritime Momentum,76300,220,Playa Solis,Unknown,Cargo_Vessel
Haenyeo Hyun-Ki,2035-04-27T00:00:00Z,2035-05-03T00:00:00Z,South Paackland harbor reports,maritimemomentumfab,City of South Paackland,2,2035-04-25T00:00:00Z,Portmaster of South Paackland,"If your ship doesn’t come in, swim out to meet it!",NA,NA,"The sea, the great unifier, is man's only hope. Now, as never before, the old phrase has a literal meaning: we are all in the same boat.",Maritime Momentum,76300,220,Playa Solis,Unknown,Cargo_Vessel
Junior Shurdlu,2035-12-04T00:00:00Z,2035-12-14T00:00:00Z,Paackland harbor reports,maritimemomentumfab,City of Paackland,0,2035-11-30T00:00:00Z,Portmaster of Paackland,"A ship in the harbor is safe, but that's not what ships are built for.",NA,"There is nothing more enticing, disenchanting, and enslaving than the life at sea.",Sunset is my favorite color.,Maritime Momentum,76300,220,Playa Solis,Unknown,Cargo_Vessel
Haenyeo Hyun-Ki,2035-12-03T00:00:00Z,2035-12-11T00:00:00Z,Paackland harbor reports,maritimemomentumfab,City of Paackland,1,2035-11-30T00:00:00Z,Portmaster of Paackland,NA,NA,"There is nothing more enticing, disenchanting, and enslaving than the life at sea.",Sunset is my favorite color.,Maritime Momentum,76300,220,Playa Solis,Unknown,Cargo_Vessel
Junior Shurdlu,2035-02-27T00:00:00Z,2035-03-07T00:00:00Z,Himark harbor reports,maritimemomentumfab,City of Himark,0,2035-02-27T00:00:00Z,Portmaster of Himark,NA,NA,"If you want to build a ship, don’t drum up the men to gather wood, divide the work, and give orders. Instead, teach them to yearn for the vast and endless sea.",The best therapy is beach therapy.,Maritime Momentum,76300,220,Playa Solis,Unknown,Cargo_Vessel
Junior Shurdlu,2035-08-17T00:00:00Z,2035-08-21T00:00:00Z,Himark harbor reports,maritimemomentumfab,City of Himark,1,2035-08-10T00:00:00Z,Portmaster of Himark,NA,NA,NA,The best therapy is beach therapy.,Maritime Momentum,76300,220,Playa Solis,Unknown,Cargo_Vessel
Haenyeo Hyun-Ki,2035-06-25T00:00:00Z,2035-06-29T00:00:00Z,Haacklee harbor reports,maritimemomentumfab,City of Haacklee,0,2035-06-23T00:00:00Z,Portmaster of Haacklee,NA,NA,Ocean: A body of water occupying two-thirds of a world made for man - who has no gills.,"You can shake the sand from your shoes, but it will never leave your soul.",Maritime Momentum,76300,220,Playa Solis,Unknown,Cargo_Vessel
Junior Shurdlu,2035-10-19T00:00:00Z,2035-10-22T00:00:00Z,Haacklee harbor reports,maritimemomentumfab,City of Haacklee,1,2035-10-13T00:00:00Z,Portmaster of Haacklee,NA,NA,Ocean: A body of water occupying two-thirds of a world made for man - who has no gills.,NA,Maritime Momentum,76300,220,Playa Solis,Unknown,Cargo_Vessel
Clepper Jessen,2035-03-23T00:00:00Z,2035-03-25T00:00:00Z,Lomark harbor reports,maritimemomentumfab,City of Lomark,0,2035-03-14T00:00:00Z,Portmaster of Lomark,NA,NA,There are always new places to go fishing.,NA,Maritime Momentum,76300,220,Playa Solis,Unknown,Cargo_Vessel
Junior Shurdlu,2035-03-15T00:00:00Z,2035-03-21T00:00:00Z,Lomark harbor reports,maritimemomentumfab,City of Lomark,1,2035-03-14T00:00:00Z,Portmaster of Lomark,NA,NA,There are always new places to go fishing.,NA,Maritime Momentum,76300,220,Playa Solis,Unknown,Cargo_Vessel
Haenyeo Hyun-Ki,2035-03-20T00:00:00Z,2035-03-24T00:00:00Z,Lomark harbor reports,maritimemomentumfab,City of Lomark,2,2035-03-14T00:00:00Z,Portmaster of Lomark,NA,NA,There are always new places to go fishing.,NA,Maritime Momentum,76300,220,Playa Solis,Unknown,Cargo_Vessel
Junior Shurdlu,2035-11-16T00:00:00Z,2035-11-25T00:00:00Z,South Paackland harbor reports,seaserpent4b4,City of South Paackland,0,2035-11-14T00:00:00Z,Portmaster of South Paackland,The island life chose me.,NA,Island life: the cure for mainland madness.,NA,Sea Serpent,3500,110,Oceanus,"Smith, Collins and Johnson",Fishing
Clepper Jessen,2035-05-12T00:00:00Z,2035-05-13T00:00:00Z,Paackland harbor reports,seaserpent4b4,City of Paackland,0,2035-05-09T00:00:00Z,Portmaster of Paackland,"The cure for anything is salt water – sweat, tears, or the sea.",Merry Offler Snack to you all!,"We are all in the same boat, in a stormy sea, and we owe each other a terrible loyalty.","Sea Fever: I must go down to the seas again, to the lonely sea and the sky, And all I ask is a tall ship and a star to steer her by.",Sea Serpent,3500,110,Oceanus,"Smith, Collins and Johnson",Fishing
Haenyeo Hyun-Ki,2035-05-09T00:00:00Z,2035-05-10T00:00:00Z,Paackland harbor reports,seaserpent4b4,City of Paackland,1,2035-05-09T00:00:00Z,Portmaster of Paackland,"The cure for anything is salt water – sweat, tears, or the sea.",Merry Offler Snack to you all!,Island life is life without corners.,"Sea Fever: I must go down to the seas again, to the lonely sea and the sky, And all I ask is a tall ship and a star to steer her by.",Sea Serpent,3500,110,Oceanus,"Smith, Collins and Johnson",Fishing
Junior Shurdlu,2035-07-17T00:00:00Z,2035-07-22T00:00:00Z,Paackland harbor reports,seaserpent4b4,City of Paackland,2,2035-07-17T00:00:00Z,Portmaster of Paackland,Life takes you down many paths but my favorite ones lead to the beach.,NA,"You can't stop the waves, but you can learn to surf.","The sea! The sea! The open sea! The blue, the fresh, the ever free!",Sea Serpent,3500,110,Oceanus,"Smith, Collins and Johnson",Fishing
Clepper Jessen,2035-02-23T00:00:00Z,2035-03-05T00:00:00Z,Lomark harbor reports,seaserpent4b4,City of Lomark,0,2035-02-17T00:00:00Z,Portmaster of Lomark,Why do we love the sea? It is because it has some potent power to make us think things we like to think.,Enjoy Offler Snack today!,Life on an island is life at its best.,"I must go down to the seas again, for the call of the running tide.",Sea Serpent,3500,110,Oceanus,"Smith, Collins and Johnson",Fishing
Junior Shurdlu,2035-02-26T00:00:00Z,2035-03-05T00:00:00Z,Lomark harbor reports,seaserpent4b4,City of Lomark,1,2035-02-17T00:00:00Z,Portmaster of Lomark,Why do we love the sea? It is because it has some potent power to make us think things we like to think.,Wonderful Lunch of VonLipwig to each of you!,"An island is not a place, it's a feeling.","I must go down to the seas again, for the call of the running tide.",Sea Serpent,3500,110,Oceanus,"Smith, Collins and Johnson",Fishing
Junior Shurdlu,2035-03-09T00:00:00Z,2035-03-17T00:00:00Z,South Paackland harbor reports,walleyewranglerda0,City of South Paackland,0,2035-03-02T00:00:00Z,Portmaster of South Paackland,"The beach is not a place to work; to read, write or to think.",NA,Life on an island is life at its best.,"Life is a beach, I'm just playing in the sand.",Walleye Wrangler,4400,130,Oceanus,Callahan-Green,Fishing
Clepper Jessen,2035-03-08T00:00:00Z,2035-03-11T00:00:00Z,South Paackland harbor reports,walleyewranglerda0,City of South Paackland,1,2035-03-02T00:00:00Z,Portmaster of South Paackland,NA,NA,Life on an island is life at its best.,"Life is a beach, I'm just playing in the sand.",Walleye Wrangler,4400,130,Oceanus,Callahan-Green,Fishing
Junior Shurdlu,2035-07-08T00:00:00Z,2035-07-12T00:00:00Z,Paackland harbor reports,walleyewranglerda0,City of Paackland,0,2035-07-02T00:00:00Z,Portmaster of Paackland,"The cure for anything is salt water: sweat, tears, or the sea.",Merry Offler Snack to you all!,"We are all in the same boat, in a stormy sea, and we owe each other a terrible loyalty.","You can shake the sand from your shoes, but it will never leave your soul.",Walleye Wrangler,4400,130,Oceanus,Callahan-Green,Fishing
Haenyeo Hyun-Ki,2035-07-12T00:00:00Z,2035-07-15T00:00:00Z,Paackland harbor reports,walleyewranglerda0,City of Paackland,1,2035-07-02T00:00:00Z,Portmaster of Paackland,"To reach a port, we must set sail.",Merry Offler Snack to you all!,"We are all in the same boat, in a stormy sea, and we owe each other a terrible loyalty.","You can shake the sand from your shoes, but it will never leave your soul.",Walleye Wrangler,4400,130,Oceanus,Callahan-Green,Fishing
Junior Shurdlu,2035-10-14T00:00:00Z,2035-10-23T00:00:00Z,Paackland harbor reports,walleyewranglerda0,City of Paackland,2,2035-10-11T00:00:00Z,Portmaster of Paackland,There’s no such thing as a wasted day at the beach.,NA,NA,NA,Walleye Wrangler,4400,130,Oceanus,Callahan-Green,Fishing
Haenyeo Hyun-Ki,2035-09-27T00:00:00Z,2035-09-29T00:00:00Z,Lomark harbor reports,walleyewranglerda0,City of Lomark,0,2035-09-23T00:00:00Z,Portmaster of Lomark,"The calmer the waters, the closer the storm.",Its **First Transit** again today,"Island life is not just a place, it's a state of mind.",The only BS I need is Beach & Sunshine.,Walleye Wrangler,4400,130,Oceanus,Callahan-Green,Fishing
Clepper Jessen,2035-09-27T00:00:00Z,2035-10-01T00:00:00Z,Lomark harbor reports,walleyewranglerda0,City of Lomark,1,2035-09-23T00:00:00Z,Portmaster of Lomark,"The calmer the waters, the closer the storm.",NA,"Island life is not just a place, it's a state of mind.","If one does not know to which port one is sailing, no wind is favorable.",Walleye Wrangler,4400,130,Oceanus,Callahan-Green,Fishing
Haenyeo Hyun-Ki,2035-09-26T00:00:00Z,2035-10-04T00:00:00Z,Lomark harbor reports,walleyewranglerda0,City of Lomark,2,2035-09-23T00:00:00Z,Portmaster of Lomark,"The calmer the waters, the closer the storm.",NA,The secret ingredient is always saltwater.,"If one does not know to which port one is sailing, no wind is favorable.",Walleye Wrangler,4400,130,Oceanus,Callahan-Green,Fishing
Clepper Jessen,2035-05-14T00:00:00Z,2035-05-19T00:00:00Z,Lomark harbor reports,walleyewranglerda0,City of Lomark,3,2035-05-12T00:00:00Z,Portmaster of Lomark,NA,NA,The secret ingredient is always saltwater.,"If one does not know to which port one is sailing, no wind is favorable.",Walleye Wrangler,4400,130,Oceanus,Callahan-Green,Fishing
Junior Shurdlu,2035-06-06T00:00:00Z,2035-06-11T00:00:00Z,Lomark harbor reports,walleyewranglerda0,City of Lomark,4,2035-06-06T00:00:00Z,Portmaster of Lomark,NA,NA,Island life is life without corners.,NA,Walleye Wrangler,4400,130,Oceanus,Callahan-Green,Fishing
Haenyeo Hyun-Ki,2035-03-15T00:00:00Z,2035-03-21T00:00:00Z,South Paackland harbor reports,louietheii3e0,City of South Paackland,0,2035-03-12T00:00:00Z,Portmaster of South Paackland,"There is one spectacle grander than the sea, that is the sky; there is one spectacle grander than the sky, that is the interior of the soul.","Wow, its Anoia's Cleaning again","When you're on an island, every sunrise is a gift.","To myself I am only a child playing on the beach, while vast oceans of truth lie undiscovered before me.",Louie the II,NA,75,Oceanus,Unknown,Other
Clepper Jessen,2035-11-10T00:00:00Z,2035-11-18T00:00:00Z,South Paackland harbor reports,louietheii3e0,City of South Paackland,1,2035-11-10T00:00:00Z,Portmaster of South Paackland,A ship is always safe at the shore - but that is NOT what it is built for.,"Wow, its Anoia's Cleaning again",An island is more than just a geographical location; it's a state of mind.,"To myself I am only a child playing on the beach, while vast oceans of truth lie undiscovered before me.",Louie the II,NA,75,Oceanus,Unknown,Other
Clepper Jessen,2035-06-18T00:00:00Z,2035-06-23T00:00:00Z,South Paackland harbor reports,louietheii3e0,City of South Paackland,2,2035-06-08T00:00:00Z,Portmaster of South Paackland,A ship is always safe at the shore - but that is NOT what it is built for.,"Wow, its Anoia's Cleaning again",NA,The wind and the waves are always on the side of the ablest navigator.,Louie the II,NA,75,Oceanus,Unknown,Other
Junior Shurdlu,2035-06-13T00:00:00Z,2035-06-16T00:00:00Z,South Paackland harbor reports,louietheii3e0,City of South Paackland,3,2035-06-08T00:00:00Z,Portmaster of South Paackland,A ship is always safe at the shore - but that is NOT what it is built for.,"Wow, its Anoia's Cleaning again",NA,"The older I get, the faster I was. There's no substitute for cubic inches and a good engine.",Louie the II,NA,75,Oceanus,Unknown,Other
Junior Shurdlu,2035-12-02T00:00:00Z,2035-12-10T00:00:00Z,South Paackland harbor reports,eelensnarerd3a,City of South Paackland,0,2035-11-22T00:00:00Z,Portmaster of South Paackland,"I'm not afraid of storms, for I'm learning how to sail my ship.",NA,The beach is my happy place.,The sea does not like to be restrained.,Eel Ensnarer,10400,150,Oceanus,"Green, Vincent and Thompson",Fishing
Junior Shurdlu,2035-12-01T00:00:00Z,2035-12-10T00:00:00Z,South Paackland harbor reports,eelensnarerd3a,City of South Paackland,1,2035-11-22T00:00:00Z,Portmaster of South Paackland,"I'm not afraid of storms, for I'm learning how to sail my ship.",NA,You can't cross the sea merely by standing and staring at the water.,The sea does not like to be restrained.,Eel Ensnarer,10400,150,Oceanus,"Green, Vincent and Thompson",Fishing
Haenyeo Hyun-Ki,2035-08-30T00:00:00Z,2035-09-07T00:00:00Z,Paackland harbor reports,eelensnarerd3a,City of Paackland,0,2035-08-21T00:00:00Z,Portmaster of Paackland,Life's roughest storms prove the strength of our anchors.,Merry Offler Snack to you all!,"We are all in the same boat, in a stormy sea, and we owe each other a terrible loyalty.","You can shake the sand from your shoes, but it will never leave your soul.",Eel Ensnarer,10400,150,Oceanus,"Green, Vincent and Thompson",Fishing
Clepper Jessen,2035-08-21T00:00:00Z,2035-08-26T00:00:00Z,Paackland harbor reports,eelensnarerd3a,City of Paackland,1,2035-08-21T00:00:00Z,Portmaster of Paackland,Life's roughest storms prove the strength of our anchors.,Merry Offler Snack to you all!,The man who rows the boat seldom has time to rock it.,The sea hates a coward.,Eel Ensnarer,10400,150,Oceanus,"Green, Vincent and Thompson",Fishing
Haenyeo Hyun-Ki,2035-02-10T00:00:00Z,2035-02-15T00:00:00Z,Paackland harbor reports,eelensnarerd3a,City of Paackland,2,2035-02-10T00:00:00Z,Portmaster of Paackland,"A lot of people ask me if I were shipwrecked, and could only have one book, what would it be? I always say 'How to Build a Boat.'",Wonderful Minister's Day Observed to each of you!,The man who rows the boat seldom has time to rock it.,Only the guy who isn't rowing has time to rock the boat.,Eel Ensnarer,10400,150,Oceanus,"Green, Vincent and Thompson",Fishing
Haenyeo Hyun-Ki,2035-05-10T00:00:00Z,2035-05-16T00:00:00Z,Paackland harbor reports,eelensnarerd3a,City of Paackland,3,2035-05-08T00:00:00Z,Portmaster of Paackland,Happiness comes in waves.,NA,Life on an island is life at its best.,The wind and the waves are always on the side of the ablest navigator.,Eel Ensnarer,10400,150,Oceanus,"Green, Vincent and Thompson",Fishing
Haenyeo Hyun-Ki,2035-05-13T00:00:00Z,2035-05-20T00:00:00Z,Paackland harbor reports,eelensnarerd3a,City of Paackland,4,2035-05-08T00:00:00Z,Portmaster of Paackland,Happiness comes in waves.,NA,NA,NA,Eel Ensnarer,10400,150,Oceanus,"Green, Vincent and Thompson",Fishing
Junior Shurdlu,2035-11-28T00:00:00Z,2035-11-29T00:00:00Z,Haacklee harbor reports,eelensnarerd3a,City of Haacklee,0,2035-11-26T00:00:00Z,Portmaster of Haacklee,NA,NA,A ship is always safe at shore but that is not what it’s built for.,NA,Eel Ensnarer,10400,150,Oceanus,"Green, Vincent and Thompson",Fishing
Haenyeo Hyun-Ki,2035-11-17T00:00:00Z,2035-11-22T00:00:00Z,South Paackland harbor reports,harborhelios585,City of South Paackland,0,2035-11-15T00:00:00Z,Portmaster of South Paackland,The secret to island life is to see the beauty in everything.,NA,"The sailor is the sea's husband, and she will not be widowed.",Island vibes only.,Harbor Helios,2100,110,Lumakari,Unknown,Cargo_Vessel
Clepper Jessen,2035-11-17T00:00:00Z,2035-11-18T00:00:00Z,South Paackland harbor reports,harborhelios585,City of South Paackland,1,2035-11-15T00:00:00Z,Portmaster of South Paackland,The secret to island life is to see the beauty in everything.,NA,"The sailor is the sea's husband, and she will not be widowed.",Island vibes only.,Harbor Helios,2100,110,Lumakari,Unknown,Cargo_Vessel
Junior Shurdlu,2035-10-18T00:00:00Z,2035-10-20T00:00:00Z,South Paackland harbor reports,harborhelios585,City of South Paackland,2,2035-10-17T00:00:00Z,Portmaster of South Paackland,NA,NA,"The sailor is the sea's husband, and she will not be widowed.",NA,Harbor Helios,2100,110,Lumakari,Unknown,Cargo_Vessel
Junior Shurdlu,2035-12-01T00:00:00Z,2035-12-02T00:00:00Z,Paackland harbor reports,harborhelios585,City of Paackland,0,2035-11-22T00:00:00Z,Portmaster of Paackland,NA,NA,NA,"You can't stop the waves, but you can learn to surf.",Harbor Helios,2100,110,Lumakari,Unknown,Cargo_Vessel
Junior Shurdlu,2035-03-06T00:00:00Z,2035-03-07T00:00:00Z,Paackland harbor reports,harborhelios585,City of Paackland,1,2035-02-24T00:00:00Z,Portmaster of Paackland,NA,NA,NA,"The ocean stirs the heart, inspires the imagination, and brings eternal joy to the soul.",Harbor Helios,2100,110,Lumakari,Unknown,Cargo_Vessel
Junior Shurdlu,2035-07-08T00:00:00Z,2035-07-12T00:00:00Z,Haacklee harbor reports,harborhelios585,City of Haacklee,0,2035-07-07T00:00:00Z,Portmaster of Haacklee,The beach is my happy place.,NA,"In every outthrust headland, in every curving beach, in every grain of sand there is the story of the earth.","When one man, for whatever reason, has the opportunity to lead an extraordinary life, he has no right to keep it to himself.",Harbor Helios,2100,110,Lumakari,Unknown,Cargo_Vessel
Clepper Jessen,2035-09-20T00:00:00Z,2035-09-26T00:00:00Z,Lomark harbor reports,harborhelios585,City of Lomark,0,2035-09-20T00:00:00Z,Portmaster of Lomark,Island life is a canvas for the imagination.,NA,The island life chose me.,NA,Harbor Helios,2100,110,Lumakari,Unknown,Cargo_Vessel
Clepper Jessen,2035-09-27T00:00:00Z,2035-09-30T00:00:00Z,Lomark harbor reports,harborhelios585,City of Lomark,1,2035-09-20T00:00:00Z,Portmaster of Lomark,Island life is a canvas for the imagination.,NA,The island life chose me.,NA,Harbor Helios,2100,110,Lumakari,Unknown,Cargo_Vessel
Clepper Jessen,2035-08-21T00:00:00Z,2035-08-29T00:00:00Z,Himark harbor reports,harborhelios585,City of Himark,0,2035-08-16T00:00:00Z,Portmaster of Himark,NA,NA,NA,"The goal is not to sail the boat, but rather to help the boat sail herself.",Harbor Helios,2100,110,Lumakari,Unknown,Cargo_Vessel
Haenyeo Hyun-Ki,2035-08-26T00:00:00Z,2035-08-31T00:00:00Z,Himark harbor reports,harborhelios585,City of Himark,1,2035-08-16T00:00:00Z,Portmaster of Himark,NA,NA,NA,"The goal is not to sail the boat, but rather to help the boat sail herself.",Harbor Helios,2100,110,Lumakari,Unknown,Cargo_Vessel
Clepper Jessen,2035-09-07T00:00:00Z,2035-09-11T00:00:00Z,South Paackland harbor reports,bigeyetunabanditb73,City of South Paackland,0,2035-09-07T00:00:00Z,Portmaster of South Paackland,The ocean is where I belong.,NA,"A ship in harbor is safe, but that's not what ships are built for.",The sea is but a larger sky.,Bigeye Tuna Bandit,11100,110,Oceanus,Lake Malawi  Corp United,Fishing
Junior Shurdlu,2035-09-14T00:00:00Z,2035-09-23T00:00:00Z,South Paackland harbor reports,bigeyetunabanditb73,City of South Paackland,1,2035-09-07T00:00:00Z,Portmaster of South Paackland,The ocean is where I belong.,NA,Island life: the cure for mainland madness.,The sea is but a larger sky.,Bigeye Tuna Bandit,11100,110,Oceanus,Lake Malawi  Corp United,Fishing
Junior Shurdlu,2035-08-29T00:00:00Z,2035-09-03T00:00:00Z,Paackland harbor reports,bigeyetunabanditb73,City of Paackland,0,2035-08-21T00:00:00Z,Portmaster of Paackland,Life's roughest storms prove the strength of our anchors.,Merry Offler Snack to you all!,Island life is life without corners.,Island life: where the only decision is to swim left or right.,Bigeye Tuna Bandit,11100,110,Oceanus,Lake Malawi  Corp United,Fishing
Clepper Jessen,2035-08-30T00:00:00Z,2035-09-05T00:00:00Z,Paackland harbor reports,bigeyetunabanditb73,City of Paackland,1,2035-08-21T00:00:00Z,Portmaster of Paackland,Life's roughest storms prove the strength of our anchors.,Merry Offler Snack to you all!,Island life is life without corners.,Island life: where the only decision is to swim left or right.,Bigeye Tuna Bandit,11100,110,Oceanus,Lake Malawi  Corp United,Fishing
Clepper Jessen,2035-08-27T00:00:00Z,2035-09-02T00:00:00Z,Paackland harbor reports,bigeyetunabanditb73,City of Paackland,2,2035-08-21T00:00:00Z,Portmaster of Paackland,Life's roughest storms prove the strength of our anchors.,NA,A smooth sea never made a skilled sailor.,Island life: where the only decision is to swim left or right.,Bigeye Tuna Bandit,11100,110,Oceanus,Lake Malawi  Corp United,Fishing
Haenyeo Hyun-Ki,2035-06-12T00:00:00Z,2035-06-21T00:00:00Z,Paackland harbor reports,bigeyetunabanditb73,City of Paackland,3,2035-06-04T00:00:00Z,Portmaster of Paackland,Island life is a wave of serenity.,NA,A sailor’s joy is as simple as a child’s.,Island life: where the only decision is to swim left or right.,Bigeye Tuna Bandit,11100,110,Oceanus,Lake Malawi  Corp United,Fishing
Haenyeo Hyun-Ki,2035-11-05T00:00:00Z,2035-11-15T00:00:00Z,Paackland harbor reports,bigeyetunabanditb73,City of Paackland,4,2035-11-02T00:00:00Z,Portmaster of Paackland,Island life is a wave of serenity.,NA,NA,NA,Bigeye Tuna Bandit,11100,110,Oceanus,Lake Malawi  Corp United,Fishing
Haenyeo Hyun-Ki,2035-06-01T00:00:00Z,2035-06-08T00:00:00Z,Lomark harbor reports,bigeyetunabanditb73,City of Lomark,0,2035-05-30T00:00:00Z,Portmaster of Lomark,Why do we love the sea? It is because it has some potent power to make us think things we like to think.,"Wow, its Minister's Day Observed again",The secret ingredient is always saltwater.,Home is where the anchor drops.,Bigeye Tuna Bandit,11100,110,Oceanus,Lake Malawi  Corp United,Fishing
Haenyeo Hyun-Ki,2035-05-18T00:00:00Z,2035-05-21T00:00:00Z,Lomark harbor reports,bigeyetunabanditb73,City of Lomark,1,2035-05-17T00:00:00Z,Portmaster of Lomark,Why do we love the sea? It is because it has some potent power to make us think things we like to think.,"Wow, its Minister's Day Observed again","The heart of man is very much like the sea, it has its storms, it has its tides and in its depths it has its pearls too.",The ocean is a central image. It is the symbolism of a great journey.,Bigeye Tuna Bandit,11100,110,Oceanus,Lake Malawi  Corp United,Fishing
Clepper Jessen,2035-03-07T00:00:00Z,2035-03-12T00:00:00Z,South Paackland harbor reports,lobsterlooterd41,City of South Paackland,0,2035-02-28T00:00:00Z,Portmaster of South Paackland,"To reach a port we must set sail – Sail, not tie at anchor Sail, not drift.",NA,Island life is life without corners.,NA,Lobster Looter,800,60,Oceanus,Wolf and Sons,Fishing
Clepper Jessen,2035-08-30T00:00:00Z,2035-09-05T00:00:00Z,Paackland harbor reports,lobsterlooterd41,City of Paackland,0,2035-08-21T00:00:00Z,Portmaster of Paackland,Life's roughest storms prove the strength of our anchors.,Merry Offler Snack to you all!,The man who rows the boat seldom has time to rock it.,"Sea Fever: I must go down to the seas again, to the lonely sea and the sky, And all I ask is a tall ship and a star to steer her by.",Lobster Looter,800,60,Oceanus,Wolf and Sons,Fishing
Junior Shurdlu,2035-05-10T00:00:00Z,2035-05-15T00:00:00Z,Paackland harbor reports,lobsterlooterd41,City of Paackland,1,2035-05-09T00:00:00Z,Portmaster of Paackland,"The cure for anything is salt water – sweat, tears, or the sea.",Merry Offler Snack to you all!,Island life is life without corners.,"Sea Fever: I must go down to the seas again, to the lonely sea and the sky, And all I ask is a tall ship and a star to steer her by.",Lobster Looter,800,60,Oceanus,Wolf and Sons,Fishing
Clepper Jessen,2035-02-10T00:00:00Z,2035-02-19T00:00:00Z,Paackland harbor reports,lobsterlooterd41,City of Paackland,2,2035-02-05T00:00:00Z,Portmaster of Paackland,"The ocean stirs the heart, inspires the imagination and brings eternal joy to the soul.",Its **Anoia's Cleaning** again today,"The sea is emotion incarnate. It loves, hates, and weeps. It defies all attempts to capture it with words and rejects all shackles. No matter what you say about it, there is always that which you can't.",Island life: where the only decision is to swim left or right.,Lobster Looter,800,60,Oceanus,Wolf and Sons,Fishing
Clepper Jessen,2035-07-18T00:00:00Z,2035-07-24T00:00:00Z,Paackland harbor reports,lobsterlooterd41,City of Paackland,3,2035-07-10T00:00:00Z,Portmaster of Paackland,One doesn't discover new lands without consenting to lose sight of the shore.,NA,I can't control the wind but I can adjust the sail.,I start from the premise that no object created by man is as satisfying to his body and soul as a proper sailing yacht.,Lobster Looter,800,60,Oceanus,Wolf and Sons,Fishing
Clepper Jessen,2035-07-14T00:00:00Z,2035-07-20T00:00:00Z,Paackland harbor reports,lobsterlooterd41,City of Paackland,4,2035-07-10T00:00:00Z,Portmaster of Paackland,One doesn't discover new lands without consenting to lose sight of the shore.,NA,NA,NA,Lobster Looter,800,60,Oceanus,Wolf and Sons,Fishing
Clepper Jessen,2035-02-27T00:00:00Z,2035-03-04T00:00:00Z,Lomark harbor reports,lobsterlooterd41,City of Lomark,0,2035-02-17T00:00:00Z,Portmaster of Lomark,"I must go down to the seas again, for the call of the running tide.",Merry Saw Appreciation Day to you all!,"Bare feet, salty hair.","I must go down to the seas again, for the call of the running tide.",Lobster Looter,800,60,Oceanus,Wolf and Sons,Fishing
Clepper Jessen,2035-02-24T00:00:00Z,2035-03-06T00:00:00Z,Lomark harbor reports,lobsterlooterd41,City of Lomark,1,2035-02-17T00:00:00Z,Portmaster of Lomark,"Bare feet, salty hair.",Merry Saw Appreciation Day to you all!,"Life is like a boat, if you don't steer, you drift.","I must go down to the seas again, for the call of the running tide.",Lobster Looter,800,60,Oceanus,Wolf and Sons,Fishing
